GET,DDAS,Start Time,End Time,Duration,Run Type,LN2 fill?,H5 on TPC GPU,Field Cage Functional?,SCA Lower Limit,degrader angle,good data?,final beam settings?,source type,source location,Comments,
187,171,11/15/2025 12:07,11/15/2025 13:09,1:02:49,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 187; Malfunction of the fragment catcher slits at ~12:47, as a result, we lost the beam. The operators called in another person to check on it. Beam came back at ~12:53; After the beam came back, we saw 0 MB/s in each of the data routers for ~20 seconds, as we were trying to figure out what was causing it, they came back. This happened during a dip in the beam rate to 0, but did not entirely overlap with it (dip lasted ~5 seconds). This GET data should be checked offline after the run is stopped.",
186,170,11/15/2025 11:07,11/15/2025 12:06,0:59:22,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 186",
185,169,11/15/2025 9:43,11/15/2025 10:43,1:00:28,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 185; GET Run 184 was a test after the GET services were restarted, mm0 is still unreachable for merging purposes; Cavity trip at ~10:10. Lost beam until 10:26. Two simultaneous cavity trips at ~ 10:28am. Beam back at 10:33am. Cavity trip at ~10:40am. Systems expert has been called by operators.",
183,168,11/15/2025 8:41,11/15/2025 9:39,0:58:30,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 183; Beam rate dropped to 0 for ~10 seconds in the first minute of the run/ A few more of these (3) occurred at ~8:51-8:53. Halfway through this run, we see the data rate in GET go to 0 for ~10 seconds, then the rates increase tenfold to catch up. After this run we will try to restart mm0 and GET services to see if that fixes the issues, and allows us to merge the runs.",
182,167,11/15/2025 7:41,11/15/2025 8:40,0:59:09,60Ga,yes,,,,,,yes,,,"Production run (38 degree degrader), Get Run 182, LN fill from ~ 8:13am - 8:30am, beam current dropped to zero a couple of times for 5 seconds each (both ~ 8:30am)",
181,166,11/15/2025 6:38,11/15/2025 7:39,1:00:21,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 181",
180,165,11/15/2025 5:35,11/15/2025 6:36,1:00:52,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 180. Between 6:15am and 6:20am, the accepted trigger rates went to zero for about 10 seconds. All the other rates looked OK.",
179,164,11/15/2025 4:34,11/15/2025 5:35,1:00:21,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 179",
,163,11/15/2025 4:15,11/15/2025 4:17,0:02:01,60Ga,,no GRAW files,,,,,yes,,,"Production run (38 degree degrader), Get Run 178",
,162,11/15/2025 3:44,11/15/2025 4:15,0:30:43,60Ga,,no GRAW files,,,,,yes,,,"Production run (38 degree degrader), Get Run 177",
176,161,11/15/2025 3:09,11/15/2025 3:42,0:32:58,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 176",
175,160,11/15/2025 2:08,11/15/2025 3:08,1:00:05,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), LN2 fill , Get Run 175",
174,159,11/15/2025 1:07,11/15/2025 2:08,1:00:47,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 174",
173,158,11/15/2025 0:06,11/15/2025 1:07,1:00:32,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 173",
172,157,11/14/2025 23:03,11/15/2025 0:06,1:02:59,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 172",
171,156,11/14/2025 22:36,11/14/2025 23:00,0:24:38,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 171",
170,155,11/14/2025 21:35,11/14/2025 22:36,1:00:35,60Ga,,,,,,,yes,,,"Production run (38 degree degrader), Get Run 170",
169,154,11/14/2025 20:35,11/14/2025 21:35,0:59:52,60Ga,,,,,,no,yes,,,"Production run (38 degree degrader), Get Run 169, weird data in crystal 1B",
168,153,11/14/2025 20:10,11/14/2025 20:35,0:24:32,60Ga,yes,,,,,yes,yes,,,"Production run (38 degree degrader), LN2 fill, Get Run 168 CL1-A was super noisy for 40 s, and went back to normal.",
167,152,11/14/2025 19:47,11/14/2025 20:10,0:22:47,60Ga,,,,,,yes,yes,,,Production run (38 degree degrader) GET RUN# was 167,
166,151,11/14/2025 18:47,11/14/2025 19:47,1:00:04,60Ga,,,,,,yes,yes,,,Production run (38 degree degrader) GET RUN# was 166,
165,150,11/14/2025 17:46,11/14/2025 18:47,1:00:21,60Ga,,,,,,yes,yes,,,Production run (38 degree degrader) GET RUN# was 165,
164,149,11/14/2025 16:45,11/14/2025 17:46,1:00:48,60Ga,,,,,,,,,,Title: Production run (38 degree degrader) GET run: 164<-163? GET RUN#164,
163,146,11/14/2025 16:30,11/14/2025 16:44,0:14:07,60Ga,,,,,,,,,,Production run (39 degree degrader),
162,145,11/14/2025 16:07,11/14/2025 16:27,0:19:09,60Ga,,,,,,,,,,Production run (37 degree degrader),
161,144,11/14/2025 15:58,11/14/2025 16:05,0:07:23,60Ga,,,,,,,,,,Production run GET run: 161,
160,143,11/14/2025 14:56,11/14/2025 15:57,1:01:18,60Ga,,,,,,,,,,Production run GET run: 160,
,142,11/14/2025 14:21,11/14/2025 14:39,0:17:58,60Ga PID,,,,,,,,,,"Beam 40x attenuated, continuous, Si in, PID during the production run (cycle?): 12 kW; this run: 860 W; 60Ga purity ~ 8%; Good(60Ga, 59Zu, 58Cu)/all ~ 92.8%; Ga 4540; Zn 30312; good 51702; unwanted 3231; all 55695",
,141,11/14/2025 14:19,11/14/2025 14:19,0:00:32,60Ga PID,,,,,,,,,,"Beam 20x attenuated, continuous, Si in, PID",
,140,11/14/2025 14:12,11/14/2025 14:17,0:05:03,,yes,,,,,,maybe?,,,"Beam stop, LN2 filling, SSD ready",
,139,11/14/2025 13:15,11/14/2025 14:00,0:45:04,,,,,,,,maybe?,,,Production Run,
157,138,11/14/2025 12:14,11/14/2025 13:15,1:00:36,60Ga,,,,,,,maybe?,,,Production Run GET run: 157,
156,137,11/14/2025 11:13,11/14/2025 12:14,1:01:40,60Ga,,,,,,,maybe?,,,Production Run GET run :156,
155,136,11/14/2025 10:11,11/14/2025 11:12,1:01:47,60Ga,,,,,,,maybe?,,,Production Run GET Run 155,
153,135,11/14/2025 8:59,11/14/2025 10:11,1:11:07,60Ga,,,,,,,maybe?,,,Production Run GET run number: 153,
153,134,11/14/2025 8:08,11/14/2025 8:57,0:49:16,60Ga,yes,,,,,,maybe?,,,"Production Run - taken during LN2 fill GET run number: 153; Run was ended because OIC called stating that an SRC cavity tripped off, and we are near the end of an LN2 cycle.",
152,133,11/14/2025 6:46,11/14/2025 8:08,1:21:53,60Ga,,,,,,,maybe?,,,Production Run GET run number: 152,
151,132,11/14/2025 5:44,11/14/2025 6:46,1:01:22,60Ga,,,,,,,maybe?,,,Production Run GET 151,
150,131,11/14/2025 4:41,11/14/2025 5:44,1:03:29,60Ga,,,,,,,maybe?,,,Production Run GET 150,
149,130,11/14/2025 3:39,11/14/2025 4:40,1:01:35,60Ga,,,,,,,maybe?,,,Production Run GET 149,
148,129,11/14/2025 2:38,11/14/2025 3:39,1:01:04,60Ga,,,,,,,maybe?,,,Production Run GET 148,
147,128,11/14/2025 2:09,11/14/2025 2:37,0:28:36,60Ga,yes,,,,,,maybe?,,,Nitrogen Fill GET 147,
146,127,11/14/2025 1:04,11/14/2025 2:08,1:03:58,60Ga,,,,,,,maybe?,,,Production Run GET 146,
145,126,11/14/2025 0:03,11/14/2025 1:04,1:01:09,60Ga,,,,,,,maybe?,,,Production Run GET Run 145,
144,125,11/13/2025 23:06,11/14/2025 0:03,0:56:41,60Ga,,,,,,,maybe?,,,run started after fixing the CobO GET Run 144.,
,124,11/13/2025 20:18,11/13/2025 20:28,0:09:17,,yes,,,,,,maybe?,,,LN2 Fill; Run ended to recycle the cobo No Get run started,
143,123,11/13/2025 18:33,11/13/2025 20:03,1:29:24,60Ga,,,,,,,maybe?,,,"Full beam, degrader 38degree Get Run number: 143",
142,122,11/13/2025 17:29,11/13/2025 18:33,1:04:33,60Ga,,,,,,,maybe?,,,"Full beam, degrader 38degree Get Run number: 142",
141,121,11/13/2025 17:10,11/13/2025 17:28,0:18:00,60Ga,,,,,,,maybe?,,,"Full beam, degrader 38degree Get Run-141",
140,120,11/13/2025 16:41,11/13/2025 17:06,0:25:13,60Ga,,,,,,,maybe?,,,"Full beam, degrader 38degree. slit opened Get run-140 Rates on DDAS: - DB5 ~ 6700 - our scint. ~ 5600 - Clovers ~ 100-200",
"138, 139",119,11/13/2025 15:13,11/13/2025 16:33,1:19:54,60Ga,,,,,,,,,,"Full beam, degrader 38degree. slit closed to reduce the momentum acceptance GET run = 138, 139",
137,118,11/13/2025 14:41,11/13/2025 15:13,0:31:50,60Ga,,,,,,,,,,"Full beam, degrader 38degree. slit closed GET run number:137",
136,117,11/13/2025 13:35,11/13/2025 14:35,0:59:57,60Ga,,,,,,,,,,"Full beam, degrader 38degree GET run number: 136 Run stopped to close the slits. Momentum spread at present = 0.8 %",
134,116,11/13/2025 13:02,11/13/2025 13:26,0:24:08,60Ga,,,,,,,,,,"Full beam, degrader 40degree GET run#134, degrader 40degree",
133,115,11/13/2025 12:35,11/13/2025 12:59,0:24:18,60Ga,,,,,,,,,,Full beam The beam stop went in part way through the run fora minute or two. We asked the operators to remove it and they did. GET RUN#133 started late (GET RUN#132 did not have all cobos data...so we reset the cobos),
132?,,,,,,,,,,,missing cobo 3,,,,,
131,114,11/13/2025 11:54,11/13/2025 12:30,0:35:50,60Ga,,,,,,,,,,"Full beam DB5 scintillator ~ 6500cps S1 scintillator ~ 5600 cps Clovers ~ 100-200 cps, minor shift in 2614 keV peak in clover6b  ok",
130,113,11/13/2025 11:28,11/13/2025 11:33,0:04:48,60Ga PID,,,,,,,,,,"PID after AP tries to tune around collimator, atten 20x",
128,112,11/13/2025 10:14,11/13/2025 11:27,1:12:56,,,,,,,,,,,"beam stop in, background beam coming during the run Get run 129 junk",
127,,,,,junk,,,,,,no,,,,junk run,
126,111,11/13/2025 9:46,11/13/2025 10:14,0:28:01,,,,,,,,no,,,"PINs out, 200 ms full cycle, beam on 100 ms, degrader 36, attX1",
125,110,11/13/2025 9:29,11/13/2025 9:45,0:15:50,,,,,,,,no,,,"PINs out, 200 ms full cycle, beam on 100 ms, degrader 35, attX1",
124,109,11/13/2025 9:19,11/13/2025 9:28,0:08:56,,,,,,,,no,,,degrader 33,
123?,,,,,,,,,,,only cobo 0 presetn,no,,,,
