fit_window,peak energy,from decay of,known peak energy (keV),known peak energy uncertainty(keV),use for calibration?,notes,gate,bg_gate,coincidence_hist,coincidences,,,,
1233-1265,1238,214Bi?,,,,,,,,,,,,
,1245,?,,,,or possibly a shoulder on 1238,,,,,,,,
,1252,?,,,,,,,,,,,,
,1259,?,,,,,,,,,,,,
1265-1287,1270,59Cu,1269.65,0.15,yes,1973Va03+1977Se02,,,,,,,,
,1274,?,,,,,,,,,,,,
,1281,?,,,,,,,,,,,,
1287-1310,1293,116In? or 60Cu,,,,"116In is room background, for 60Cu see 1972Va19",,,,,,,,
,1301,59Cu,,,"no, overlapping peaks","1973Va03+1977Se02. Doesn't fit well as a single peak when beam on, but fits ok when beam off. Added peak below for this reason.",,,,,,,,
,1302,?,,,,,,,,,,,,
1310-1325,1316,?,,,,,,,,,,,,
,1321,58Cu,1321.4,0.5,yes,1972Jo01,,,,,,,,
1325-1347,1331,60Co? or 60Cu,,,,"strong 60Cu transition, 1972Va19. Doesn't fit well as a single peak, so broke out into to peaks",,,,,,,,
,1332,see above,,,,,,,,,,,,
,1340,"59Cu? ",,,"no, low fit p value","1973Va03+1977Se02 for 59Cu. Shows up in 1004 coincidence spectrum because of 999 keV 59Cu linem vyt 2507 is is coincidence ith 1004 and 1340, and seems to be from 60Ga most likely. Maybe this is to peaks?",,," h1341 = degai.get_bg_subtracted_projection(coincidence_hist, 1342, 2, 1355, 5)","340, 511, 1003, 1996?, 2051?, 2506",,,,
1346-1363,1351,?,,,,,,,,,,,,
,1357,?,,,,,,,,,,,,
1363-1391,1369,?,,,,"not background, stronger when beam on, half life likely very short",,,,,,,,
,1377,214Bi? 57Co?,,,,214Bi is room background; 57Co 1990Sc23 would be beam contaminant,,,,,,,,
,1385,?,,,,,,,,,,,,
1391-1416,1395,,,,,1973Va03+1977Se02,,,,,,,,
,1398,59Cu? 60Ga?,,,,Oshea has in cascade above Sp,,,,,,,,
,1401,?,,,,1 sigma t1/2<34.6 ms,,,,,,,,
,1407,214Bi?,,,,,,,,,,,,
,1413,60Ga,,,"no, 2021Or01",2021Or01,,,,"1004,2433",,,,
1416-1473,1420,60Cu,,,,"1972Va19, very small peak",,,,,,,,
,1434,?,,,,much stronger when beam on.1 sigma half life 0-8 ms.,,,,,,,,
,1441,60Ga?,,,,"2021Or01, not enough statistics to constrain half life but 1 sigma value < 40 ms",,,,"1004,1554,2557",,,,
,1448,58Cu,,,"no, low fit p-value",1972Jo01,,,,,,,,
,1451,60Cu,,,"no, low fit p-value","1972Va19, not clearly visible under 1454 peak tail, but should be included in fits",,,,,,,,
,1454,58Cu,,,"no, low fit p-value",1972Jo01,,,,,,,,
,1461,40K?,,,,largely time independent. Doesn't fit well as a single peak.,,,,,,,,
,1462,?,,,,,,,,,,,,
1471-1519,1481,60Ga,,,,2021Or01,,,,,,,,
,1488,58Cu,1488.6,0.7,yes,1972Jo01,,,,,,,,
,1496,?,,,,,,,,,,,,
,1501,?,,,,,,,,,,,,
,1509,room background?,,,,seems time independent,,,,,,,,
,1514,?,,,,,,,,,,,,
1519-1549,1521,?,,,,,,,,,,,,
,1530,?,,,,,,,,,,,,
,1536,59Cu? But peak is stronger in 60Ga spectrum than 59Zn,,,,1973Va03+1977Se02,,,,,,,,
,1543,?,,,,,,,,,,,,
,1547,58Cu,,,,"1972Jo01, only maybe visible as a shoulder on 1543 peak",,,,,,,,
1550-1563,1554,60Ga,1554.9,0.6,yes,"based on 2001Ma96 + 1003 peak coincidence, 74±3 ms half life",,,,,,,,
1575-1605,1579,60Cu,,,,"1972Va19, shows up as shoulder on 1583 peak",,,,,,,,
,1583,58Cu,,,,1972Jo01,,,,,,,,
,1588,228Ac?,,,,,,,,,,,,
,1592,?,,,,,,,,,,,,
,1599,?,,,,,,,,,,,,
1605-1647,1610,59Cu,,,"no, small peak",1973Va03+1977Se02,,,,,,,,
,1620,212Bi?,,,,,,,,,,,,
,1625,,,,,,,,,,,,,
,1631,228Ac?,,,,,,,,,,,,
,1635,,,,,,,,,,,,,
,1638,?,,,,,,,,,,,,
1650-1700,1661,?,,,,,,,,,,,,
,1665,?,,,,,,,,,,,,
,1673,58Cu,,,"no, really small peak",1972Jo01,,,,,,,,
,1679,59Cu,1679.7,0.07,yes,1973Va03+1977Se02,,,,,,,,
,1684,?,,,,,,,,,,,,
,1693,?,,,,,,,,,,,,
1700-1745,1729,214Bi?,,,,,,,,,,,,
,1734,59Cu,1734.7,0.07,yes,1973Va03+1977Se02,,,,,,,,
